uniprot	refseq
A0Q6R7	WP_003015672
A0Q6R8	WP_003039537
A0Q6R9	WP_003018795
A0Q6S0	WP_003018791
A0Q6S1	WP_003039540
A0Q6S3	WP_003015654
A0Q6S4	WP_003039547
A0Q6S5	WP_003039550
A0Q6S6	WP_003034128
A0Q6S7	WP_003026287
A0Q6S8	WP_003039615
A0Q6S9	WP_003015534
A0Q6T0	WP_003039621
A0Q6T1	WP_011733674
A0Q6T2	WP_003018771
A0Q6T3	WP_003034136
A0Q6T4	WP_011733675
A0Q6T5	WP_003023392
A0Q6T6	WP_011733676
A0Q6T7	WP_003039643
A0Q6T8	WP_003026299
A0Q6T9	WP_003039646
A0Q6U0	WP_003036817
A0Q6U1	WP_003039650
A0Q6U2	WP_003039653
A0Q6U3	WP_003039656
A0Q6U4	WP_003039659
A0Q6U5	WP_003034158
A0Q6U7	WP_003015509
A0Q6U9	WP_003039668
A0Q6V0	WP_011733678
A0Q6V1	WP_003039676
A0Q6V2	WP_011733679
A0Q6V3	WP_003039681
A0Q6V4	WP_003023340
A0Q6V5	WP_003018715
A0Q6V6	WP_003039684
A0Q6V7	WP_003039686
A0Q6V8	WP_003039688
A0Q6V9	WP_003039691
A0Q6W0	WP_003015471
A0Q6W1	WP_003018704
A0Q6W2	WP_003039694
A0Q6W3	WP_003034189
A0Q6W5	WP_003039700
A0Q6W6	WP_003039703
A0Q6W7	WP_003015446
A0Q6W8	WP_003039707
A0Q6W9	WP_003036865
A0Q6X0	WP_003039710
A0Q6X1	WP_003039713
A0Q6X2	WP_003039715
A0Q6X4	WP_003039722
A0Q6X6	WP_003018671
A0Q6X8	WP_003039734
A0Q6X9	WP_003039737
A0Q6Y0	WP_011733683
A0Q6Y1	WP_003034218
A0Q6Y2	WP_003021312
A0Q6Y3	WP_003039743
A0Q6Y4	WP_003039746
A0Q6Y5	WP_003039749
A0Q6Y6	WP_003039752
A0Q6Y7	WP_003036879
A0Q6Y8	WP_003039755
A0Q6Y9	WP_003026380
A0Q6Z0	WP_003026382
A0Q6Z1	WP_003039759
A0Q6Z2	WP_003039762
A0Q6Z4	WP_003039771
A0Q6Z5	WP_003039773
A0Q6Z6	WP_011733684
A0Q6Z7	WP_003036885
A0Q6Z8	WP_003039778
A0Q6Z9	WP_003039781
A0Q700	WP_003039785
A0Q701	WP_003039788
A0Q702	WP_003039791
A0Q703	WP_003018632
A0Q704	WP_003034246
A0Q706	WP_003039798
A0Q707	WP_003018629
A0Q708	WP_003039802
A0Q709	WP_003039805
A0Q710	WP_003034256
A0Q711	WP_003018618
A0Q712	WP_003034258
A0Q713	WP_003018613
A0Q714	WP_003039809
A0Q715	WP_003039812
A0Q716	WP_003039815
A0Q717	WP_003039818
A0Q718	WP_003039821
A0Q719	WP_003036913
A0Q720	WP_003039827
A0Q721	WP_003039832
A0Q722	WP_003034273
A0Q723	WP_003039835
A0Q724	WP_003039840
A0Q725	WP_003039842
A0Q726	WP_003039844
A0Q727	WP_003039846
A0Q728	WP_003034277
A0Q729	WP_003039849
A0Q730	WP_011733686
A0Q731	WP_011733687
A0Q732	WP_003039858
A0Q733	WP_003026450
A0Q734	WP_003021424
A0Q735	WP_003034286
A0Q736	WP_003036934
A0Q737	WP_003034290
A0Q738	WP_003015278
A0Q739	WP_003039863
A0Q740	WP_003034294
A0Q741	WP_003039866
A0Q742	WP_003034298
A0Q743	WP_003036943
A0Q744	WP_003039869
A0Q745	WP_003039872
A0Q746	WP_004339561
A0Q747	WP_003039874
A0Q748	WP_003039875
A0Q749	WP_003039877
A0Q750	WP_003039880
A0Q751	WP_003036958
A0Q752	WP_003018540
A0Q753	WP_003039882
A0Q754	WP_003036960
A0Q755	WP_003034321
A0Q756	WP_003036963
A0Q757	WP_003036966
A0Q758	WP_003039885
A0Q759	WP_003039888
A0Q760	WP_003034330
A0Q761	WP_003023546
A0Q762	WP_003039890
A0Q763	WP_003039892
A0Q764	WP_003039894
A0Q765	WP_003039896
A0Q766	WP_003039898
A0Q767	WP_003034338
A0Q768	WP_003034340
A0Q769	WP_003039901
A0Q770	WP_003039904
A0Q771	WP_003016687
A0Q772	WP_003039908
A0Q773	WP_003039914
A0Q774	WP_003039917
A0Q775	WP_003034347
A0Q776	WP_003036989
A0Q777	WP_003016697
A0Q778	WP_003039922
A0Q779	WP_003039924
A0Q780	WP_003039928
A0Q781	WP_003039932
A0Q782	WP_003039935
A0Q783	WP_003039938
A0Q784	WP_011733688
A0Q785	WP_003034368
A0Q786	WP_003039944
A0Q787	WP_003016724
A0Q788	WP_003039948
A0Q789	WP_003037011
A0Q790	WP_003039951
A0Q791	WP_003039954
A0Q792	WP_003037016
A0Q793	WP_003039957
A0Q794	WP_003034371
A0Q795	WP_003034372
A0Q796	WP_003034373
A0Q797	WP_003034374
A0Q799	WP_003039965
A0Q7A0	WP_003039968
A0Q7A1	WP_003034380
A0Q7A2	WP_003039971
A0Q7A3	WP_003039974
A0Q7A5	WP_003034387
A0Q7A6	WP_003034389
A0Q7A7	WP_003037035
A0Q7A8	WP_003018506
A0Q7A9	WP_003039979
A0Q7B0	WP_003018498
A0Q7B1	WP_003039983
A0Q7B2	WP_003037043
A0Q7B3	WP_003025780
A0Q7B4	WP_003025777
A0Q7B5	WP_003034398
A0Q7B6	WP_003039989
A0Q7B7	WP_003034402
A0Q7B8	WP_003039993
A0Q7B9	WP_003039996
A0Q7C0	WP_011733691
A0Q7C1	WP_003040002
A0Q7C3	WP_003040008
A0Q7C4	WP_003025739
A0Q7C5	WP_003040011
A0Q7C6	WP_003040014
A0Q7C7	WP_003040017
A0Q7C8	WP_011733693
A0Q7C9	WP_003015169
A0Q7D0	WP_003037070
A0Q7D1	WP_003040026
A0Q7D2	WP_003034424
A0Q7D3	WP_003018461
A0Q7D4	WP_003025725
A0Q7D5	WP_003015159
A0Q7D6	WP_003040030
A0Q7D7	WP_003040032
A0Q7D9	WP_003040040
A0Q7E0	WP_003040043
A0Q7E1	WP_003034438
A0Q7E2	WP_003034440
A0Q7E3	WP_003034442
A0Q7E4	WP_003037081
A0Q7E5	WP_003040047
A0Q7E6	WP_003034447
A0Q7E7	WP_003040055
A0Q7E8	WP_003040058
A0Q7F0	WP_003040064
A0Q7F1	WP_003040067
A0Q7F3	WP_003034459
A0Q7F4	WP_003016252
A0Q7F5	WP_003025459
A0Q7F6	WP_003034461
A0Q7F7	WP_003021949
A0Q7F8	WP_003040080
A0Q7F9	WP_003040082
A0Q7G0	WP_003040087
A0Q7G1	WP_003021960
A0Q7G2	WP_003034470
A0Q7G3	WP_003016239
A0Q7G4	WP_003040096
A0Q7G5	WP_003025438
A0Q7G6	WP_003040101
A0Q7G7	WP_003040105
A0Q7G8	WP_003016231
A0Q7G9	WP_011733697
A0Q7H0	WP_003040109
A0Q7H1	WP_003040112
A0Q7H2	WP_003040115
A0Q7H3	WP_003037116
A0Q7H4	WP_003040118
A0Q7H5	WP_003040120
A0Q7H6	WP_003040123
A0Q7H7	WP_003040125
A0Q7H8	WP_003040128
A0Q7H9	WP_011733698
A0Q7I0	WP_003040134
A0Q7I1	WP_003040137
A0Q7I2	WP_003040140
A0Q7I3	WP_003016165
A0Q7I4	WP_003040143
A0Q7I5	WP_003040146
A0Q7I6	WP_003040148
A0Q7I7	WP_011733699
A0Q7I8	WP_011733700
A0Q7I9	WP_003034542
A0Q7J0	WP_003040166
A0Q7J1	WP_003040169
A0Q7J2	WP_003025408
A0Q7J3	WP_003040172
A0Q7J4	WP_003034549
A0Q7J5	WP_003016134
A0Q7J6	WP_003034554
A0Q7J7	WP_003016128
A0Q7J8	WP_003016126
A0Q7J9	WP_003034557
A0Q7K0	WP_003025404
A0Q7K1	WP_003016117
A0Q7K2	WP_003018210
A0Q7K3	WP_003040178
A0Q7K4	WP_003037171
A0Q7K5	WP_003040184
A0Q7K6	WP_003016111
A0Q7K7	WP_003040187
A0Q7K8	WP_003034563
A0Q7K9	WP_003040191
A0Q7L0	WP_003040194
A0Q7L1	WP_003040197
A0Q7L2	WP_003040200
A0Q7L3	WP_003040203
A0Q7L4	WP_003034575
A0Q7L5	WP_003034577
A0Q7L7	WP_003040212
A0Q7L9	WP_003040215
A0Q7M0	WP_003040218
A0Q7M1	WP_003034592
A0Q7M2	WP_003022204
A0Q7M3	WP_003040221
A0Q7M4	WP_003040223
A0Q7M5	WP_003034596
A0Q7M6	WP_003040227
A0Q7M7	WP_003037222
A0Q7M8	WP_003040230
A0Q7M9	WP_003040233
A0Q7N0	WP_003040236
A0Q7N2	WP_003025338
A0Q7N3	WP_003040241
A0Q7N4	WP_003040244
A0Q7N5	WP_003040252
A0Q7N7	WP_003034620
A0Q7N8	WP_003040258
A0Q7N9	WP_003040261
A0Q7P0	WP_003025316
A0Q7P1	WP_003040267
A0Q7P2	WP_003022238
A0Q7P4	WP_003040275
A0Q7P5	WP_003015040
A0Q7P6	WP_011733703
A0Q7P7	WP_003022248
A0Q7P8	WP_011733704
A0Q7P9	WP_011733705
A0Q7Q0	WP_003040285
A0Q7Q1	WP_003034644
A0Q7Q2	WP_003040289
A0Q7Q3	WP_003040294
A0Q7Q4	WP_003040297
A0Q7Q5	WP_003015034
A0Q7Q6	WP_003034657
A0Q7Q7	WP_003040301
A0Q7Q8	WP_003040306
A0Q7Q9	WP_004339280
A0Q7R0	WP_003022260
A0Q7R1	WP_011733706
A0Q7R2	WP_003040313
A0Q7R3	WP_003040317
A0Q7R4	WP_003040319
A0Q7R5	WP_003025263
A0Q7R6	WP_003025265
A0Q7R7	WP_003040326
A0Q7R8	WP_003040329
A0Q7R9	WP_003018147
A0Q7S0	WP_003015002
A0Q7S1	WP_003040333
A0Q7S2	WP_003040336
A0Q7S3	WP_003040346
A0Q7S4	WP_003040350
A0Q7S5	WP_003040353
A0Q7S6	WP_011733707
A0Q7S8	WP_011733708
A0Q7S9	WP_003040366
A0Q7T0	WP_003040369
A0Q7T1	WP_003040373
A0Q7T3	WP_003040378
A0Q7T4	WP_011733710
A0Q7T5	WP_003040385
A0Q7T6	WP_003040388
A0Q7T7	WP_011733711
A0Q7T9	WP_003040393
A0Q7U0	WP_003040395
A0Q7U1	WP_003040399
A0Q7U2	WP_003040402
A0Q7U3	WP_003034759
A0Q7U4	WP_003040404
A0Q7U5	WP_003034763
A0Q7U6	WP_003034767
A0Q7U7	WP_003037386
A0Q7U8	WP_003040406
A0Q7U9	WP_011733713
A0Q7V0	WP_003040411
A0Q7V1	WP_003040413
A0Q7V2	WP_003034781
A0Q7V3	WP_003040415
A0Q7V4	WP_003014930
A0Q7V5	WP_003022431
A0Q7V7	WP_003040422
A0Q7V8	WP_003040425
A0Q7V9	WP_003040428
A0Q7W0	WP_011733715
A0Q7W2	WP_003034797
A0Q7W3	WP_003040434
A0Q7W4	WP_003040437
A0Q7W5	WP_003040440
A0Q7W6	WP_003034807
A0Q7W7	WP_003025094
A0Q7W8	WP_003018097
A0Q7W9	WP_003040444
A0Q7X0	WP_003040447
A0Q7X1	WP_003014901
A0Q7X2	WP_003022463
A0Q7X3	WP_003034818
A0Q7X4	WP_003040451
A0Q7X5	WP_003014894
A0Q7X7	WP_003040458
A0Q7X8	WP_003018080
A0Q7X9	WP_003040462
A0Q7Y0	WP_003034834
A0Q7Y1	WP_003014877
A0Q7Y2	WP_003034837
A0Q7Y3	WP_003034840
A0Q7Y4	WP_003037451
A0Q7Y5	WP_003037453
A0Q7Y6	WP_003037455
A0Q7Y8	WP_003040469
A0Q7Y9	WP_003040471
A0Q7Z0	WP_003040472
A0Q7Z1	WP_003040474
A0Q7Z2	WP_003040476
A0Q7Z3	WP_003040477
A0Q7Z4	WP_003040479
A0Q7Z5	WP_003040481
A0Q7Z6	WP_003040482
A0Q7Z8	WP_003040486
A0Q7Z9	WP_003040487
A0Q800	WP_003040489
A0Q801	WP_003034871
A0Q802	WP_003040493
A0Q803	WP_011733718
A0Q804	WP_003040499
A0Q805	WP_003040502
A0Q806	WP_003034892
A0Q807	WP_003034895
A0Q808	WP_003018337
A0Q809	WP_004339137
A0Q810	WP_003040510
A0Q811	WP_003040513
A0Q813	WP_003034915
A0Q814	WP_003034917
A0Q815	WP_003040519
A0Q816	WP_003040522
A0Q817	WP_003040524
A0Q819	WP_003040533
A0Q820	WP_003040536
A0Q821	WP_003040538
A0Q822	WP_003040540
A0Q823	WP_011733720
A0Q824	WP_003037497
A0Q825	WP_003040548
A0Q826	WP_003040552
A0Q827	WP_003040554
A0Q828	WP_003040556
A0Q829	WP_003040559
A0Q830	WP_003040562
A0Q831	WP_003040565
A0Q832	WP_003034965
A0Q833	WP_003040570
A0Q834	WP_003016458
A0Q835	WP_003040573
A0Q836	WP_003040576
A0Q837	WP_003040583
A0Q838	WP_003034978
A0Q839	WP_003022662
A0Q840	WP_011733721
A0Q841	WP_011733722
A0Q842	WP_003037531
A0Q843	WP_003040593
A0Q844	WP_003040596
A0Q845	WP_003040599
A0Q846	WP_003034992
A0Q847	WP_003040604
A0Q848	WP_003019945
A0Q849	WP_003040607
A0Q850	WP_003037537
A0Q851	WP_003040610
A0Q852	WP_003037539
A0Q853	WP_003040614
A0Q854	WP_003040617
A0Q855	WP_003040620
A0Q856	WP_003040622
A0Q857	WP_003035014
A0Q858	WP_003035017
A0Q859	WP_003040625
A0Q860	WP_003040628
A0Q861	WP_003023081
A0Q862	WP_003017219
A0Q863	WP_003024816
A0Q864	WP_003040632
A0Q865	WP_003019912
A0Q866	WP_003035026
A0Q867	WP_011733723
A0Q868	WP_003024808
A0Q869	WP_003023073
A0Q870	WP_003028678
A0Q871	WP_003024803
A0Q872	WP_011457527
A0Q873	WP_003041097
A0Q874	WP_003024794
A0Q875	WP_003041100
A0Q876	WP_003041103
A0Q877	WP_003041106
A0Q878	WP_003041109
A0Q879	WP_003041112
A0Q880	WP_003037605
A0Q882	WP_003019507
A0Q883	WP_003041120
A0Q884	WP_003041123
A0Q885	WP_003041126
A0Q886	WP_003035065
A0Q887	WP_003037623
A0Q888	WP_003041130
A0Q889	WP_003041134
A0Q890	WP_011733724
A0Q891	WP_003041142
A0Q892	WP_003041145
A0Q893	WP_003035078
A0Q894	WP_003024743
A0Q895	WP_003035080
A0Q896	WP_003041148
A0Q897	WP_003035085
A0Q898	WP_003035087
A0Q899	WP_003041151
A0Q8A0	WP_003041158
A0Q8A1	WP_003041161
A0Q8A2	WP_003041164
A0Q8A3	WP_003017112
A0Q8A4	WP_003037645
A0Q8A5	WP_003041168
A0Q8A6	WP_003041176
A0Q8A7	WP_003041178
A0Q8A8	WP_003037654
A0Q8A9	WP_003041209
A0Q8B0	WP_011733725
A0Q8B1	WP_003035102
A0Q8B2	WP_003041213
A0Q8B3	WP_011733726
A0Q8B4	WP_003035105
A0Q8B5	WP_011733727
A0Q8B6	WP_003035107
A0Q8B7	WP_003037673
A0Q8B8	WP_003019812
A0Q8B9	WP_003017296
A0Q8C0	WP_003037676
A0Q8C1	WP_003035111
A0Q8C2	WP_003035113
A0Q8C3	WP_003041231
A0Q8C4	WP_011733728
A0Q8C5	WP_003041237
A0Q8C6	WP_003028608
A0Q8C7	WP_003041240
A0Q8C8	WP_003041244
A0Q8C9	WP_003035125
A0Q8D0	WP_003019788
A0Q8D1	WP_003019784
A0Q8D2	WP_003019781
A0Q8D3	WP_003041254
A0Q8D4	WP_003041257
A0Q8D5	WP_003035135
A0Q8D6	WP_003017327
A0Q8D7	WP_003041263
A0Q8D8	WP_003019771
A0Q8D9	WP_003035141
A0Q8E0	WP_003019684
A0Q8E1	WP_003037711
A0Q8E2	WP_003017341
A0Q8E3	WP_003019758
A0Q8E4	WP_003019757
A0Q8E5	WP_003035145
A0Q8E6	WP_004339959
A0Q8E7	WP_003035149
A0Q8E8	WP_003019697
A0Q8E9	WP_003035153
A0Q8F0	WP_003041274
A0Q8F1	WP_003041277
A0Q8F2	WP_003035158
A0Q8F3	WP_003041281
A0Q8F4	WP_003041283
A0Q8F5	WP_003024580
A0Q8F6	WP_003041286
A0Q8F7	WP_003041289
A0Q8F8	WP_003037729
A0Q8F9	WP_003041292
A0Q8G0	WP_003022912
A0Q8G1	WP_003041295
A0Q8G3	WP_003035180
A0Q8G4	WP_003035182
A0Q8G5	WP_003017378
A0Q8G6	WP_003041303
A0Q8G7	WP_011733729
A0Q8G8	WP_003041311
A0Q8G9	WP_003037755
A0Q8H0	WP_003041313
A0Q8H1	WP_003017394
A0Q8H2	WP_003022891
A0Q8H3	WP_003037763
A0Q8H4	WP_003041317
A0Q8H5	WP_003041320
A0Q8H6	WP_003041325
A0Q8H7	WP_003041328
A0Q8H8	WP_011733730
A0Q8H9	WP_003041333
A0Q8I0	WP_003022867
A0Q8I1	WP_011733731
A0Q8I2	WP_003041342
A0Q8I3	WP_003041344
A0Q8I4	WP_003041347
A0Q8I5	WP_003041349
A0Q8I6	WP_003041352
A0Q8I7	WP_003037796
A0Q8I8	WP_003041354
A0Q8I9	WP_003041357
A0Q8J0	WP_003041360
A0Q8J1	WP_003041364
A0Q8J2	WP_003037810
A0Q8J3	WP_003041366
A0Q8J4	WP_003041369
A0Q8J5	WP_003037818
A0Q8J6	WP_003017431
A0Q8J7	WP_003041372
A0Q8J8	WP_003041375
A0Q8J9	WP_003037824
A0Q8K0	WP_003041378
A0Q8K1	WP_003041381
A0Q8K2	WP_003041384
A0Q8K3	WP_003041386
A0Q8K4	WP_003041388
A0Q8K6	WP_003041395
A0Q8K7	WP_003041398
A0Q8K8	WP_003041399
A0Q8K9	WP_004339068
A0Q8L0	WP_003041406
A0Q8L1	WP_003041408
A0Q8L2	WP_003040686
A0Q8L4	WP_003040691
A0Q8L5	WP_003040695
A0Q8L6	WP_003040698
A0Q8L7	WP_003040701
A0Q8L8	WP_003032557
A0Q8L9	WP_003040705
A0Q8M1	WP_003040711
A0Q8M2	WP_003017665
A0Q8M3	WP_003032563
A0Q8M5	WP_011733733
A0Q8M6	WP_003040724
A0Q8M7	WP_003040726
A0Q8M8	WP_011733734
A0Q8M9	WP_003040731
A0Q8N0	WP_003040733
A0Q8N1	WP_003040734
A0Q8N2	WP_003040737
A0Q8N3	WP_003040739
A0Q8N4	WP_003014068
A0Q8N5	WP_003024407
A0Q8N6	WP_003040742
A0Q8N7	WP_003032578
A0Q8N8	WP_003032579
A0Q8N9	WP_003040744
A0Q8P0	WP_011733735
A0Q8P1	WP_003040747
A0Q8P2	WP_003040749
A0Q8P3	WP_003037945
A0Q8P4	WP_003040752
A0Q8P5	WP_003040754
A0Q8P6	WP_003040758
A0Q8P7	WP_003040762
A0Q8P8	WP_003040764
A0Q8P9	WP_003032596
A0Q8Q0	WP_003040765
A0Q8Q1	WP_011733736
A0Q8Q2	WP_003040767
A0Q8Q3	WP_003040769
A0Q8Q4	WP_003017534
A0Q8Q5	WP_003037973
A0Q8Q6	WP_003040772
A0Q8Q7	WP_003040773
A0Q8Q8	WP_003013860
A0Q8Q9	WP_003040775
A0Q8R1	WP_011733737
A0Q8R2	WP_003032608
A0Q8R3	WP_003040779
A0Q8R4	WP_003032610
A0Q8R5	WP_003024353
